symbol,date,epsActual,epsEstimated,revenueActual,revenueEstimated,lastUpdated
AAPL,2026-10-29,,1.98,,113205200000.0,2026-08-24
AAPL,2026-07-30,2.02,1.89,109417000000.0,109038900000.0,2026-08-24
AAPL,2026-04-30,2.01,1.95,111184000000.0,109457600000.0,2026-07-29
AAPL,2026-01-29,2.85,2.67,143756000000.0,138391000000.0,2026-06-04
AAPL,2025-10-30,1.85,1.73,102466000000.0,102227100000.0,2026-06-04
AAPL,2025-07-31,1.57,1.44,94036000000.0,89562740000.0,2026-06-04
AAPL,2025-05-01,1.65,1.63,95359000000.0,94542180000.0,2026-06-04
AAPL,2025-01-30,2.4,2.36,124300000000.0,124257400000.0,2026-06-04
AAPL,2024-10-31,1.64,1.6,94930000000.0,94511950000.0,2026-06-04
AAPL,2024-08-01,1.4,1.34,85777000000.0,84480710000.0,2026-06-04
AAPL,2024-05-02,1.53,1.51,90753000000.0,90366110000.0,2026-06-04
AAPL,2024-02-01,2.18,2.1,119575000000.0,117986600000.0,2026-06-04
AAPL,2023-11-02,1.46,1.39,89498000000.0,89303800000.0,2026-06-04
AAPL,2023-08-03,1.26,1.19,81797000000.0,81794920000.0,2026-06-04
AAPL,2023-05-04,1.52,1.44,94836000000.0,92906050000.0,2026-06-04
AAPL,2023-02-02,1.88,1.93,117154000000.0,121333300000.0,2026-06-04
AAPL,2022-10-27,1.29,1.27,90146000000.0,88739280000.0,2026-06-04
AAPL,2022-07-28,1.2,1.14,82959000000.0,82791240000.0,2026-06-04
AAPL,2022-04-28,1.52,1.43,97278000000.0,94033800000.0,2026-06-04
AAPL,2022-01-27,2.1,1.89,123945000000.0,119002500000.0,2026-06-04
AAPL,2021-10-28,1.24,1.24,83360000000.0,117986000000.0,2026-06-04
AAPL,2021-07-27,1.3,1.0,81434000000.0,84581900000.0,2026-06-04
AAPL,2021-04-28,1.4,1.0,89584000000.0,76920700000.0,2026-06-04
AAPL,2021-01-27,1.68,1.41,111439000000.0,90099620000.0,2026-06-04
AAPL,2020-10-29,0.73,0.69,64698000000.0,63802400000.0,2026-06-04
AAPL,2020-07-30,0.64,0.51,59685000000.0,46829770000.0,2026-06-04
AAPL,2020-04-30,0.64,0.52,58313000000.0,51023880000.0,2026-06-04
AAPL,2020-01-28,1.25,1.13,91819000000.0,83738930000.0,2026-06-04
AAPL,2019-10-30,0.76,0.71,64040000000.0,63014690000.0,2026-06-04
AAPL,2019-07-30,0.55,0.52,53809000000.0,53316080000.0,2026-06-04
AAPL,2019-04-30,0.62,0.59,58015000000.0,57510000000.0,2026-06-04
AAPL,2019-01-29,1.04,1.04,84310000000.0,83507050000.0,2026-06-04
AAPL,2018-11-01,0.73,0.7,62900000000.0,60315070000.0,2026-06-04
AAPL,2018-07-31,0.58,0.54,53265000000.0,49622950000.0,2026-06-04
AAPL,2018-05-01,0.68,0.67,61137000000.0,59793330000.0,2026-06-04
AAPL,2018-02-01,0.97,0.95,88293000000.0,87612080000.0,2026-06-04
AAPL,2017-11-02,0.52,0.47,52579000000.0,47498900000.0,2026-06-04
AAPL,2017-08-01,0.42,0.39,45408000000.0,42688960000.0,2026-06-04
AAPL,2017-05-02,0.52,0.5,52896000000.0,50880910000.0,2026-06-04
AAPL,2017-01-31,0.84,0.81,78351000000.0,74853190000.0,2026-06-04
