symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,21-08-2026,312.05,312.38,307.01,309.35,46876815,-2.7,-0.86525,310.1975
AAPL,20-08-2026,317.46,320.28,310.65,311.3,40959200,-6.15,-1.94,314.9225
AAPL,19-08-2026,310.14,319.28,309.6,316.83,50505646,6.69,2.16,313.9625
AAPL,18-08-2026,307.58,311.49,305.74,310.03,53424535,2.45,0.79654,308.71
AAPL,17-08-2026,306.21,307.66,302.94,305.59,38169300,-0.62,-0.20248,305.6
AAPL,14-08-2026,306,307.49,304.3,305.93,28229400,-0.07,-0.02287582,305.93
AAPL,13-08-2026,304.21,306,302.05,305.26,40349300,1.05,0.34516,304.38
AAPL,12-08-2026,305.1,305.66,300.57,302.25,41657800,-2.85,-0.93412,303.395
AAPL,11-08-2026,307.75,309.97,302.79,304.91,37476746,-2.84,-0.92283,306.355
AAPL,10-08-2026,306.83,308.26,304.61,308.26,44812503,1.43,0.46606,306.99
AAPL,07-08-2026,311.45,314.81,310.74,313.33,34437200,1.88,0.60363,312.5825
AAPL,06-08-2026,314.34,316.29,309.23,312.41,46139901,-1.93,-0.61398,313.0675
AAPL,05-08-2026,309.36,311.71,305.67,311,49438800,1.64,0.53013,309.435
AAPL,04-08-2026,302.73,310.42,301.32,309.38,68001000,6.65,2.2,305.9625
AAPL,03-08-2026,309.58,311.8,302.56,303.42,75052000,-6.16,-1.99,306.84
AAPL,31-07-2026,304.81,310.69,300,308.91,132489137,4.1,1.35,306.1025
AAPL,30-07-2026,333.1,334.75,329.59,333.43,74817800,0.33,0.09906935,332.7175
AAPL,29-07-2026,339.73,344.57,337.35,338.19,56090840,-1.54,-0.4533,339.96
AAPL,28-07-2026,340.03,342.89,335.6,340.08,51859042,0.05,0.01470458,339.65
AAPL,27-07-2026,334.54,339.57,334.02,336.91,49604300,2.37,0.70844,336.26
AAPL,24-07-2026,321.79,334.37,321.62,333.02,47489415,11.23,3.49,327.7
AAPL,23-07-2026,321.73,323.3,319.35,321.66,40840800,-0.07,-0.02175737,321.51
AAPL,22-07-2026,327.87,329,323.34,325.89,38755929,-1.98,-0.6039,326.525
AAPL,21-07-2026,323.13,329.6,322.22,327.74,41338917,4.61,1.43,325.6725
AAPL,20-07-2026,333.51,333.71,323.68,326.59,53468008,-6.92,-2.07,329.3725
AAPL,17-07-2026,331.98,334.99,329,333.74,63407100,1.76,0.53015,332.4275
AAPL,16-07-2026,328.01,334.68,326.79,333.26,62970617,5.25,1.6,330.685
AAPL,15-07-2026,317.62,328.73,317.32,327.5,60957644,9.88,3.11,322.7925
AAPL,14-07-2026,313.76,316.19,311.91,314.86,36336829,1.1,0.35059,314.18
AAPL,13-07-2026,317.02,323.45,315.78,317.31,43257804,0.295,0.09147688,318.39
AAPL,10-07-2026,314.72,316.91,312.17,315.32,34132321,0.6,0.19065,314.78
AAPL,09-07-2026,310.51,316.53,308.16,316.22,48124500,5.71,1.84,312.855
AAPL,08-07-2026,311.91,314.82,307.05,313.39,41323500,1.48,0.4745,311.7925
AAPL,07-07-2026,315.29,315.48,310.15,310.66,42490002,-4.63,-1.47,312.895
AAPL,06-07-2026,307.36,314.2,307,312.66,53590000,5.3,1.72,310.305
AAPL,02-07-2026,294.12,309.42,293.68,308.63,75400626,14.51,4.93,301.4625
AAPL,01-07-2026,293.44,296.59,289.2,294.38,50164232,0.94,0.32034,293.4025
AAPL,30-06-2026,281.17,289.94,280.7,289.36,65100200,8.19,2.91,285.2925
AAPL,29-06-2026,286.73,288.37,279.85,281.74,66427002,-4.99,-1.74,284.1725
AAPL,26-06-2026,275,285.95,274.21,283.78,261775500,8.78,3.19,279.735
AAPL,25-06-2026,287.4,288.8,273.75,275.15,107253659,-12.25,-4.26,281.275
AAPL,24-06-2026,295.36,299.7,292.94,293.08,53081900,-2.28,-0.77194,295.27
AAPL,23-06-2026,297.54,301.64,294.18,294.3,52010929,-3.24,-1.09,296.915
AAPL,22-06-2026,297.31,302.42,296.76,297.01,44879914,-0.3,-0.1009,298.375
AAPL,18-06-2026,298.11,300.57,295.62,298.01,85962201,-0.1,-0.03354466,298.0775
AAPL,17-06-2026,300.85,302.07,294.36,295.95,42745100,-4.9,-1.63,298.3075
AAPL,16-06-2026,295.25,300.48,293.97,299.24,39874404,4,1.35,297.235
AAPL,15-06-2026,294.12,297.78,291.7,296.42,45732600,2.3,0.78199,295.005
AAPL,12-06-2026,296.03,297.14,289.62,291.13,38784789,-4.9,-1.66,293.48
AAPL,11-06-2026,293.72,297,289.59,295.63,42572500,1.91,0.65028,293.985
AAPL,10-06-2026,290.74,294.75,287.38,291.58,52793300,0.84,0.28892,291.1125
AAPL,09-06-2026,300.27,300.75,287.78,290.55,70108847,-9.72,-3.24,294.8375
AAPL,08-06-2026,308.74,317.4,301.17,301.54,77949100,-7.2,-2.33,307.2125
AAPL,05-06-2026,312.86,315.17,307.15,307.34,65310502,-5.52,-1.76,310.63
AAPL,04-06-2026,313.23,313.54,309.65,311.23,44869134,-2,-0.63851,311.9125
AAPL,03-06-2026,314.18,316.94,308.85,310.26,50836705,-3.92,-1.25,312.5575
AAPL,02-06-2026,307.46,315.45,306.69,315.2,44534716,7.74,2.52,311.2
AAPL,01-06-2026,309.63,310.94,305.02,306.31,48849933,-3.31,-1.07,307.975
AAPL,29-05-2026,311.77,315,309.53,312.06,70026800,0.285,0.09301729,312.09
AAPL,28-05-2026,310.68,312.8,309.57,312.51,48220400,1.83,0.58903,311.39
AAPL,27-05-2026,308.33,313.26,308.3,310.85,50430919,2.52,0.81731,310.185
AAPL,26-05-2026,309.56,311.82,307.67,308.33,48000500,-1.23,-0.39734,309.345
